Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Wandin North,Government,Primary,Yarra Ranges (S),145.43595,-37.79025
Yering,Government,Primary,Yarra Ranges (S),145.38222,-37.70535
Dartmoor,Government,Primary,Glenelg (S),141.27673,-37.92302
Mickleham,Government,Primary,Hume (C),144.87655,-37.5635
Inglewood,Government,Primary,Loddon (S),143.87045,-36.57394
Chewton,Government,Primary,Mount Alexander (S),144.26116,-37.08233
Bolinda,Government,Primary,Macedon Ranges (S),144.7454,-37.43373
Napoleons,Government,Primary,Golden Plains (S),143.82646,-37.67863
Kew,Government,Primary,Boroondara (C),145.03339,-37.80364
Haddon,Government,Primary,Golden Plains (S),143.72171,-37.58864
Panmure,Government,Primary,Moyne (S),142.73253,-38.32935
Sorrento,Government,Primary,Mornington Peninsula (S),144.74069,-38.34148
Alfredton,Government,Primary,Ballarat (C),143.8021,-37.5548
Bridgewater On Loddon,Government,Primary,Loddon (S),143.94592,-36.6031
Hastings,Government,Primary,Mornington Peninsula (S),145.18947,-38.2997
Yackandandah,Government,Primary,Indigo (S),146.83646,-36.3121
Nagambie,Government,Primary,Strathbogie (S),145.15723,-36.78759
Heyfield,Government,Primary,Wellington (S),146.78494,-37.98211
Moorabbin,Government,Primary,Kingston (C),145.03959,-37.94202
Mansfield,Government,Primary,Mansfield (S),146.08482,-37.05559
Indigo Valley,Government,Primary,Indigo (S),146.72484,-36.15601
Briagolong,Government,Primary,Wellington (S),147.06784,-37.8428
Lindenow,Government,Primary,East Gippsland (S),147.45327,-37.80088
Broadford,Government,Primary,Mitchell (S),145.0463,-37.20257
Murchison,Government,Primary,Greater Shepparton (C),145.21429,-36.61718
Panton Hill,Government,Primary,Nillumbik (S),145.23956,-37.64161
Glen Park,Government,Primary,Moorabool (S),143.9348,-37.52478
CONCONGELLA,Government,Primary,Northern Grampians (S),142.82232,-37.04956
Bruthen,Government,Primary,East Gippsland (S),147.83349,-37.70421
Swan Hill,Government,Primary,Swan Hill (RC),143.54325,-35.34691
Porepunkah,Government,Primary,Alpine (S),146.91102,-36.69949
Leopold,Government,Primary,Greater Geelong (C),144.46437,-38.18726
Inverleigh,Government,Primary,Golden Plains (S),144.05469,-38.10094
Glen Iris,Government,Primary,Boroondara (C),145.06589,-37.86048
Trawalla,Government,Primary,Pyrenees (S),143.46986,-37.43773
Quarry Hill,Government,Primary,Greater Bendigo (C),144.27998,-36.77512
Sebastopol,Government,Primary,Ballarat (C),143.84472,-37.59643
Woodside,Government,Primary,Wellington (S),146.87674,-38.52633
Noorat,Government,Primary,Corangamite (S),142.92873,-38.19075
Albert Park,Government,Primary,Port Phillip (C),144.95277,-37.84188
Williamstown,Government,Primary,Hobsons Bay (C),144.90041,-37.8638
Boneo,Government,Primary,Mornington Peninsula (S),144.88711,-38.41198
Queenscliff,Government,Primary,Queenscliffe (B),144.65621,-38.26722
Portland North,Government,Primary,Glenelg (S),141.57233,-38.31764
Timor,Government,Primary,Central Goldfields (S),143.71199,-36.98422
Apsley,Government,Primary,West Wimmera (S),141.08249,-36.97371
Strathfieldsaye,Government,Primary,Greater Bendigo (C),144.35291,-36.80436
Skye,Government,Primary,Frankston (C),145.20124,-38.11771
Tooborac,Government,Primary,Mitchell (S),144.79814,-37.03978
Eastwood,Government,Primary,East Gippsland (S),147.63075,-37.81267
Upper Plenty,Government,Primary,Mitchell (S),145.05787,-37.42371
Carlton North,Government,Primary,Yarra (C),144.97303,-37.79106
Maldon,Government,Primary,Mount Alexander (S),144.06581,-36.99504
Woori Yallock,Government,Primary,Yarra Ranges (S),145.53269,-37.77737
Moyston,Government,Primary,Ararat (RC),142.76785,-37.30166
Buninyong,Government,Primary,Ballarat (C),143.88625,-37.65423
Marysville,Government,Primary,Murrindindi (S),145.74894,-37.51198
Langley,Government,Primary,Mount Alexander (S),144.48966,-37.17118
