Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Belmont,Government,Primary,Greater Geelong (C),144.33986,-38.18571
Lower Templestowe,Government,Primary,Manningham (C),145.10938,-37.76061
Glen Waverley,Government,Primary,Monash (C),145.17407,-37.86702
Watsonia North,Government,Primary,Banyule (C),145.08051,-37.7004
Dandenong,Government,Primary,Greater Dandenong (C),145.21636,-37.96024
Knoxfield,Government,Primary,Knox (C),145.2514,-37.88363
Doncaster,Government,Primary,Manningham (C),145.11335,-37.79342
Ararat,Government,Primary,Ararat (RC),142.94005,-37.27465
Frankston South,Government,Primary,Frankston (C),145.12094,-38.17444
Thomastown,Government,Primary,Whittlesea (C),145.00079,-37.6787
Rowville,Government,Primary,Knox (C),145.23711,-37.92292
Hoppers Crossing,Government,Primary,Wyndham (C),144.69612,-37.87288
Templestowe Lower,Government,Primary,Manningham (C),145.11935,-37.76721
Frankston,Government,Primary,Frankston (C),145.15828,-38.14746
Sunbury,Government,Primary,Hume (C),144.71292,-37.5748
Gladstone Park,Government,Primary,Hume (C),144.88658,-37.68715
Mooroolbark,Government,Primary,Yarra Ranges (S),145.30955,-37.77213
Glen Waverley,Government,Primary,Monash (C),145.15904,-37.86708
Mooroolbark,Government,Primary,Yarra Ranges (S),145.32114,-37.77376
Ferntree Gully,Government,Primary,Knox (C),145.27802,-37.87582
Briar Hill,Government,Primary,Banyule (C),145.13008,-37.70891
Doncaster East,Government,Primary,Manningham (C),145.16552,-37.78746
Shepparton,Government,Primary,Greater Shepparton (C),145.39097,-36.3985
Sale,Government,Primary,Wellington (S),147.08906,-38.10805
Parkville,Government,Special,Melbourne (C),144.95097,-37.79435
Vermont South,Government,Special,Whitehorse (C),145.1806,-37.85114
Bundoora,Government,Special,Banyule (C),145.07501,-37.702
Deer Park,Government,Primary,Brimbank (C),144.76444,-37.772
Campbellfield,Government,Primary,Hume (C),144.96587,-37.67433
Lalor,Government,Primary,Whittlesea (C),145.02854,-37.66415
Melton West,Government,Primary,Melton (C),144.56749,-37.67748
Diamond Creek,Government,Primary,Nillumbik (S),145.1656,-37.67419
Wheelers Hill,Government,Primary,Monash (C),145.17325,-37.91432
Bayswater,Government,Primary,Knox (C),145.25305,-37.84907
Mornington,Government,Primary,Mornington Peninsula (S),145.05875,-38.22603
Wodonga,Government,Primary,Wodonga (C),146.89399,-36.13962
Frankston North,Government,Primary,Frankston (C),145.16162,-38.11662
Richmond,Government,Primary,Yarra (C),144.99574,-37.81363
Heathmont,Government,Primary,Maroondah (C),145.23294,-37.83641
St Albans,Government,Primary,Brimbank (C),144.78121,-37.7361
Mount Evelyn,Government,Primary,Yarra Ranges (S),145.36852,-37.77958
Hoppers Crossing,Government,Primary,Wyndham (C),144.69123,-37.88377
Sunshine West,Government,Primary,Brimbank (C),144.81407,-37.79899
Frankston,Government,Primary,Frankston (C),145.16681,-38.14148
Noble Park,Government,Primary,Greater Dandenong (C),145.17082,-37.97962
Lilydale,Government,Primary,Yarra Ranges (S),145.33611,-37.75518
Mooroolbark,Government,Primary,Yarra Ranges (S),145.3357,-37.7868
Sunshine West,Government,Primary,Brimbank (C),144.799,-37.7884
Kilsyth,Government,Primary,Yarra Ranges (S),145.32291,-37.8111
Falls Creek,Government,Primary,Unincorporated Vic,147.27976,-36.86431
Flemington,Government,Primary,Moonee Valley (C),144.93515,-37.78598
Narre Warren,Government,Primary,Casey (C),145.2952,-38.00942
Ringwood East,Government,Primary,Maroondah (C),145.26534,-37.81841
Grovedale,Government,Primary,Greater Geelong (C),144.32895,-38.20828
Moe,Government,Special,Latrobe (C),146.2572,-38.19174
Frankston,Government,Special,Frankston (C),145.163,-38.14716
Ferntree Gully,Government,Primary,Knox (C),145.26273,-37.88349
Deer Park,Government,Primary,Brimbank (C),144.77403,-37.75614
Dandenong North,Government,Primary,Greater Dandenong (C),145.21346,-37.94411
Mooroopna,Government,Primary,Greater Shepparton (C),145.34594,-36.3801
Melton South,Government,Primary,Melton (C),144.57266,-37.69487
Werribee,Government,Primary,Wyndham (C),144.64389,-37.89406
Gladstone Park,Government,Primary,Hume (C),144.89837,-37.68901
Wheelers Hill,Government,Primary,Monash (C),145.17759,-37.90017
Ashwood,Government,Special,Monash (C),145.10716,-37.85966
Broadmeadows,Government,Primary,Hume (C),144.9141,-37.6814
Bulleen,Government,Special,Manningham (C),145.09506,-37.76329
Cheltenham,Government,Primary,Kingston (C),145.07907,-37.96278
Warrandyte,Government,Primary,Manningham (C),145.20768,-37.74822
Wheelers Hill,Government,Primary,Monash (C),145.18428,-37.91475
Dingley Village,Government,Primary,Kingston (C),145.1238,-37.983
Ascot Vale,Government,Special,Moonee Valley (C),144.93236,-37.77682
Glen Waverley,Government,Primary,Monash (C),145.18777,-37.86528
Vermont South,Government,Primary,Whitehorse (C),145.18067,-37.85289
Churchill,Government,Primary,Latrobe (C),146.41695,-38.30464
St Albans,Government,Primary,Brimbank (C),144.81778,-37.75337
Noble Park North,Government,Primary,Greater Dandenong (C),145.19288,-37.94923
Ringwood,Government,Primary,Maroondah (C),145.25483,-37.7893
Whittington,Government,Primary,Greater Geelong (C),144.39501,-38.17815
Coldstream,Government,Primary,Yarra Ranges (S),145.38271,-37.73256
Templestowe,Government,Primary,Manningham (C),145.14326,-37.75627
Hampton Park,Government,Primary,Casey (C),145.26051,-38.03465
Wantirna,Government,Primary,Knox (C),145.23616,-37.85487
Croydon,Government,Primary,Maroondah (C),145.28575,-37.81008
Capel Sound,Government,Primary,Mornington Peninsula (S),144.8835,-38.37376
Thomastown,Government,Primary,Whittlesea (C),144.9931,-37.68259
Frankston,Government,Primary,Frankston (C),145.1557,-38.16808
Endeavour Hills,Government,Primary,Casey (C),145.24585,-37.97906
KINGS PARK,Government,Primary,Brimbank (C),144.77536,-37.73771
Mount Eliza,Government,Primary,Mornington Peninsula (S),145.10054,-38.1884
West Wodonga,Government,Primary,Wodonga (C),146.86142,-36.1305
Aspendale,Government,Special,Kingston (C),145.09669,-38.01399
Frankston,Government,Special,Frankston (C),145.1702,-38.1433
Bellfield,Government,Special,Banyule (C),145.04074,-37.75629
Port Melbourne,Government,Special,Port Phillip (C),144.94197,-37.83679
Cobram,Government,Special,Moira (S),145.65158,-35.92582
Wheelers Hill,Government,Special,Monash (C),145.1658,-37.90698
Wyndham Vale,Government,Primary,Wyndham (C),144.62857,-37.89587
Shepparton,Government,Special,Greater Shepparton (C),145.41529,-36.36744
Vermont South,Government,Primary,Whitehorse (C),145.17764,-37.85916
Mill Park,Government,Primary,Whittlesea (C),145.06588,-37.67461
Greensborough,Government,Special,Nillumbik (S),145.11165,-37.68675
Melton,Government,Special,Melton (C),144.56822,-37.68057
Springvale,Government,Special,Greater Dandenong (C),145.15431,-37.94936
Hoppers Crossing,Government,Special,Wyndham (C),144.68759,-37.88404
Templestowe,Government,Primary,Manningham (C),145.15557,-37.7699
Mount Martha,Government,Primary,Mornington Peninsula (S),145.01373,-38.27556
Altona Meadows,Government,Primary,Hobsons Bay (C),144.77973,-37.86869
The Patch,Government,Primary,Yarra Ranges (S),145.39284,-37.89242
Sale,Government,Special,Wellington (S),147.07075,-38.08164
Wheelers Hill,Government,Primary,Monash (C),145.19285,-37.90284
Albanvale,Government,Primary,Brimbank (C),144.77442,-37.74402
Sunbury,Government,Primary,Hume (C),144.72867,-37.56525
Ballarat,Government,Camp,Ballarat (C),143.86526,-37.57582
Mount Eliza,Government,Primary,Mornington Peninsula (S),145.07623,-38.18768
Greensborough,Government,Primary,Nillumbik (S),145.10987,-37.68739
Grovedale,Government,Primary,Greater Geelong (C),144.32788,-38.2004
Meadow Heights,Government,Primary,Hume (C),144.91782,-37.6592
Cranbourne,Government,Primary,Casey (C),145.26772,-38.10271
Patterson Lakes,Government,Primary,Kingston (C),145.14479,-38.06984
Seaford,Government,Primary,Frankston (C),145.15444,-38.10504
Montrose,Government,Primary,Yarra Ranges (S),145.33925,-37.82495
Chirnside Park,Government,Primary,Yarra Ranges (S),145.31134,-37.75007
Corinella,Government,Primary,Bass Coast (S),145.48877,-38.43123
Wantirna,Government,Primary,Knox (C),145.23229,-37.86094
Sunbury,Government,Primary,Hume (C),144.70696,-37.58114
Darley,Government,Primary,Moorabool (S),144.43691,-37.65528
Delacombe,Government,Primary,Ballarat (C),143.81853,-37.58478
Hastings,Government,Primary,Mornington Peninsula (S),145.17275,-38.29789
Endeavour Hills,Government,Primary,Casey (C),145.26772,-37.96839
Melton West,Government,Primary,Melton (C),144.55421,-37.67562
Wangaratta,Government,Primary,Wangaratta (RC),146.30071,-36.34159
Croydon South,Government,Special,Maroondah (C),145.28078,-37.81563
Doncaster East,Government,Primary,Manningham (C),145.17519,-37.7738
Berwick,Government,Primary,Casey (C),145.32743,-38.03114
Sunshine North,Government,Special,Brimbank (C),144.8271,-37.76144
Laverton,Government,Special,Hobsons Bay (C),144.77363,-37.85635
Sunbury,Government,Special,Hume (C),144.72933,-37.59602
Reservoir,Government,Special,Darebin (C),145.02993,-37.70059
Traralgon,Government,Special,Latrobe (C),146.55136,-38.20403
West Wodonga,Government,Special,Wodonga (C),146.85454,-36.12321
Botanic Ridge,Government,Primary,Casey (C),145.28805,-38.15007
Burwood East,Government,Special,Whitehorse (C),145.14212,-37.8572
Wangaratta,Government,Special,Wangaratta (RC),146.30016,-36.34379
Meadow Heights,Government,Primary,Hume (C),144.92384,-37.65042
Portland,Government,Primary,Glenelg (S),141.59245,-38.36224
Dromana,Government,Special,Mornington Peninsula (S),145.01011,-38.34184
Endeavour Hills,Government,Primary,Casey (C),145.2477,-37.96973
Cranbourne,Government,Primary,Casey (C),145.27622,-38.08736
Wantirna South,Government,Primary,Knox (C),145.22958,-37.88228
Endeavour Hills,Government,Primary,Casey (C),145.26441,-37.98823
St Albans,Government,Primary,Brimbank (C),144.76754,-37.73315
Narre Warren,Government,Special,Casey (C),145.296,-38.0076
Mornington,Government,Special,Mornington Peninsula (S),145.05718,-38.22611
Moorabbin,Government,Special,Kingston (C),145.0568,-37.94336
Mooroolbark,Government,Primary,Yarra Ranges (S),145.32684,-37.76651
Craigieburn,Government,Primary,Hume (C),144.93585,-37.60875
Mill Park,Government,Primary,Whittlesea (C),145.05107,-37.6665
Loch Sport,Government,Primary,Wellington (S),147.56717,-38.05819
Mount Evelyn,Government,Special,Yarra Ranges (S),145.38487,-37.77502
Colac,Government,Special,Colac-Otway (S),143.58902,-38.34571
Sunbury,Government,Primary,Hume (C),144.75105,-37.58052
Mildura,Government,Special,Mildura (RC),142.14364,-34.19988
East Bentleigh,Government,Special,Glen Eira (C),145.06208,-37.92672
Hoppers Crossing,Government,Primary,Wyndham (C),144.71078,-37.87108
Croydon Hills,Government,Primary,Maroondah (C),145.27204,-37.77668
Melton,Government,Primary,Melton (C),144.58632,-37.67057
Langwarrin,Government,Primary,Frankston (C),145.2025,-38.15092
Taylors Lakes,Government,Primary,Brimbank (C),144.79377,-37.70965
Eltham North,Government,Primary,Banyule (C),145.13984,-37.68998
Coburg,Government,Special,Merri-bek (C),144.95174,-37.73292
Broadmeadows,Government,Special,Hume (C),144.9141,-37.68165
Sunshine,Government,Special,Brimbank (C),144.81989,-37.80343
Swan Hill,Government,Special,Swan Hill (RC),143.54509,-35.34924
Richmond,Government,Primary,Yarra (C),144.99907,-37.82957
Richmond,Government,Primary,Yarra (C),145.00748,-37.81464
Stawell,Government,Special,Northern Grampians (S),142.78383,-37.05767
Horsham,Government,Special,Horsham (RC),142.18678,-36.70784
Cobden,Government,Special,Corangamite (S),143.06466,-38.32356
Warrnambool,Government,Special,Warrnambool (C),142.48177,-38.35498
Yarraville,Government,Special,Maribyrnong (C),144.88365,-37.81791
Clifton Springs,Government,Primary,Greater Geelong (C),144.55314,-38.16566
Rowville,Government,Primary,Knox (C),145.26246,-37.91841
Portland,Government,Special,Glenelg (S),141.59756,-38.34633
Hamilton,Government,Special,Southern Grampians (S),142.02246,-37.72686
Lalor,Government,Special,Whittlesea (C),145.01508,-37.66724
Blackburn South,Government,Primary,Whitehorse (C),145.14653,-37.84023
Epping,Government,Primary,Whittlesea (C),145.05309,-37.64275
Altona Meadows,Government,Primary,Hobsons Bay (C),144.78492,-37.88677
Balwyn North,Government,Primary,Boroondara (C),145.08789,-37.78944
Warragul,Government,Special,Baw Baw (S),145.92506,-38.16489
Laverton,Government,Special,Hobsons Bay (C),144.77807,-37.85078
Warracknabeal,Government,Special,Yarriambiack (S),142.39075,-36.25761
Hampton Park,Government,Primary,Casey (C),145.27435,-38.04385
Narre Warren,Government,Primary,Casey (C),145.30412,-38.00344
Endeavour Hills,Government,Primary,Casey (C),145.27391,-37.98056
Rowville,Government,Primary,Knox (C),145.26328,-37.90532
Delahey,Government,Primary,Brimbank (C),144.77753,-37.71723
Kangaroo Flat,Government,Special,Greater Bendigo (C),144.24015,-36.79587
Echuca,Government,Special,Campaspe (S),144.72461,-36.13829
Aspendale Gardens,Government,Primary,Kingston (C),145.1168,-38.02251
Berwick,Government,Primary,Casey (C),145.33439,-38.04874
Berwick,Government,Primary,Casey (C),145.34777,-38.05298
Ferntree Gully,Government,Special,Knox (C),145.28492,-37.88042
Wollert,Government,Primary,Whittlesea (C),145.00257,-37.60984
Eynesbury,Government,Primary,Melton (C),144.54755,-37.78994
Hoppers Crossing,Government,Primary,Wyndham (C),144.67569,-37.86739
Carrum Downs,Government,Primary,Frankston (C),145.19245,-38.10442
Hoppers Crossing,Government,Pri/Sec,Wyndham (C),144.69102,-37.85984
Langwarrin,Government,Primary,Frankston (C),145.20502,-38.13568
Mill Park,Government,Primary,Whittlesea (C),145.05175,-37.65733
Keilor Downs,Government,Primary,Brimbank (C),144.79205,-37.71727
Seabrook,Government,Primary,Hobsons Bay (C),144.7579,-37.87884
Craigieburn,Government,Primary,Hume (C),144.92259,-37.59178
Werribee,Government,Primary,Wyndham (C),144.63788,-37.9032
Rowville,Government,Primary,Knox (C),145.24288,-37.93392
Mildura,Government,Primary,Mildura (RC),142.1339,-34.19367
Hampton Park,Government,Primary,Casey (C),145.27957,-38.03416
Sunbury,Government,Primary,Hume (C),144.70458,-37.56379
Ocean Grove,Government,Primary,Greater Geelong (C),144.54166,-38.26145
Officer,Government,Primary,Cardinia (S),145.39659,-38.05488
Werribee,Government,Primary,Wyndham (C),144.63933,-37.92103
Niddrie,Government,Special,Moonee Valley (C),144.88706,-37.74393
Narre Warren,Government,Primary,Casey (C),145.31619,-38.00644
Werribee,Government,Primary,Wyndham (C),144.65953,-37.8785
Violet Town,Government,Primary,Strathbogie (S),145.71697,-36.63424
Belmont,Government,Special,Greater Geelong (C),144.32804,-38.17878
Bacchus Marsh,Government,Primary,Moorabool (S),144.42318,-37.65586
Pakenham,Government,Primary,Cardinia (S),145.49442,-38.06063
Cranbourne North,Government,Primary,Casey (C),145.28345,-38.08012
Somerville,Government,Primary,Mornington Peninsula (S),145.16775,-38.23003
Derrinallum,Government,Pri/Sec,Corangamite (S),143.21674,-37.93959
Mortlake,Government,Pri/Sec,Moyne (S),142.80955,-38.08637
Branxholme,Government,Primary,Southern Grampians (S),141.79872,-37.85635
Mount Duneed,Government,Primary,Greater Geelong (C),144.31968,-38.24124
Grasmere,Government,Primary,Moyne (S),142.52288,-38.28599
Narrawong,Government,Primary,Glenelg (S),141.71658,-38.25268
Ballarat East,Government,Primary,Ballarat (C),143.87591,-37.57297
Brown Hill,Government,Primary,Ballarat (C),143.89424,-37.55542
Clyde North,Government,Primary,Casey (C),145.37283,-38.08273
Tempy,Government,Primary,Yarriambiack (S),142.42708,-35.34395
Rawson,Government,Primary,Baw Baw (S),146.39897,-37.95912
Bundalaguah,Government,Primary,Wellington (S),147.0121,-38.0235
Lardner,Government,Primary,Baw Baw (S),145.88035,-38.20464
Nambrok,Government,Primary,Wellington (S),146.87481,-38.05399
Welshpool,Government,Primary,South Gippsland (S),146.43111,-38.66552
Whitfield,Government,Primary,Wangaratta (RC),146.41206,-36.76558
Greta South,Government,Primary,Wangaratta (RC),146.23636,-36.61784
Everton,Government,Primary,Wangaratta (RC),146.54454,-36.43532
Nangiloc,Government,Primary,Mildura (RC),142.35779,-34.47385
Sea Lake,Government,Pri/Sec,Buloke (S),142.85352,-35.50928
Harcourt,Government,Primary,Mount Alexander (S),144.25723,-37.00297
Beverford,Government,Primary,Swan Hill (RC),143.47891,-35.23248
Niddrie,Government,Primary,Moonee Valley (C),144.87843,-37.73085
Greenvale,Government,Primary,Hume (C),144.87884,-37.6232
Lucas,Government,Primary,Ballarat (C),143.7804,-37.54796
Toolern Vale,Government,Primary,Melton (C),144.59423,-37.60627
Ashwood,Government,Primary,Monash (C),145.10687,-37.86288
Seaford,Government,Primary,Frankston (C),145.13174,-38.12516
Box Hill South,Government,Primary,Whitehorse (C),145.12521,-37.83477
Meeniyan,Government,Primary,South Gippsland (S),146.01518,-38.57934
Bayles,Government,Primary,Cardinia (S),145.56603,-38.17604
Cheltenham,Government,Primary,Kingston (C),145.06814,-37.95926
Dalyston,Government,Primary,Bass Coast (S),145.5462,-38.56035
Glen Waverley,Government,Primary,Monash (C),145.16759,-37.87472
Knoxfield,Government,Primary,Knox (C),145.24649,-37.89148
Mulgrave,Government,Primary,Monash (C),145.17289,-37.92812
Oakleigh East,Government,Primary,Monash (C),145.10878,-37.90032
Boronia,Government,Primary,Knox (C),145.25498,-37.86116
Mount Waverley,Government,Primary,Monash (C),145.14135,-37.86802
Mitcham,Government,Primary,Whitehorse (C),145.2063,-37.82958
Edenhope,Government,Pri/Sec,West Wimmera (S),141.29856,-37.03343
Murrayville,Government,Pri/Sec,Mildura (RC),141.17734,-35.26557
Hawkesdale,Government,Pri/Sec,Moyne (S),142.31917,-38.10698
Noble Park,Government,Pri/Sec,Greater Dandenong (C),145.18873,-37.94284
Glen Waverley,Government,Primary,Monash (C),145.16761,-37.89686
Yallambie,Government,Primary,Banyule (C),145.10222,-37.72156
Woorinen South,Government,Primary,Swan Hill (RC),143.45374,-35.29041
Smythesdale,Government,Primary,Golden Plains (S),143.6843,-37.64352
Millgrove,Government,Primary,Yarra Ranges (S),145.65186,-37.75279
Gormandale,Government,Primary,Wellington (S),146.70321,-38.29418
Roxburgh Park,Government,Primary,Hume (C),144.91628,-37.63206
Newcomb,Government,Primary,Greater Geelong (C),144.39495,-38.16516
Braybrook,Government,Primary,Maribyrnong (C),144.85612,-37.79169
Glenroy,Government,Primary,Merri-bek (C),144.94394,-37.7012
Doncaster East,Government,Primary,Manningham (C),145.1479,-37.78161
Nyah West,Government,Primary,Swan Hill (RC),143.34319,-35.18608
Narre Warren South,Government,Primary,Casey (C),145.28692,-38.06312
Cranbourne East,Government,Special,Casey (C),145.2965,-38.1102
Heathmont,Government,Primary,Maroondah (C),145.23763,-37.8238
Berwick,Government,Pri/Sec,Casey (C),145.32263,-38.01557
Hillside,Government,Primary,Melton (C),144.74446,-37.69921
Narre Warren South,Government,Primary,Casey (C),145.30746,-38.06472
Roxburgh Park,Government,Primary,Hume (C),144.9314,-37.63424
Point Cook,Government,Pri/Sec,Wyndham (C),144.74313,-37.88474
Mornington,Government,Primary,Mornington Peninsula (S),145.06111,-38.24595
Caulfield South,Government,Primary,Glen Eira (C),145.02003,-37.88805
Bairnsdale,Government,Special,East Gippsland (S),147.599,-37.82871
Roxburgh Park,Government,Primary,Hume (C),144.9235,-37.61621
Lynbrook,Government,Primary,Casey (C),145.24899,-38.05239
Leongatha,Government,Special,South Gippsland (S),145.95729,-38.47819
Doreen,Government,Primary,Whittlesea (C),145.12687,-37.58582
Truganina,Government,Primary,Wyndham (C),144.72565,-37.86453
Burnside Heights,Government,Primary,Melton (C),144.75458,-37.73503
Epping,Government,Primary,Whittlesea (C),145.00226,-37.62208
Truganina,Government,Pri/Sec,Wyndham (C),144.71909,-37.83877
Burnside,Government,Primary,Melton (C),144.75289,-37.74566
Berwick,Government,Primary,Casey (C),145.34696,-38.06743
Pakenham,Government,Primary,Cardinia (S),145.439,-38.06846
Tarneit,Government,Primary,Wyndham (C),144.66024,-37.85588
Pakenham,Government,Primary,Cardinia (S),145.47008,-38.08451
Taylors Hill,Government,Primary,Melton (C),144.7599,-37.71669
Cranbourne,Government,Primary,Casey (C),145.28906,-38.08753
Blackburn South,Government,Special,Whitehorse (C),145.15079,-37.84018
Derrimut,Government,Primary,Brimbank (C),144.7632,-37.78927
Epping,Government,Primary,Whittlesea (C),145.02402,-37.62844
Echuca,Government,Primary,Campaspe (S),144.72467,-36.13772
Cranbourne East,Government,Primary,Casey (C),145.30444,-38.10628
Wendouree,Government,Pri/Sec,Ballarat (C),143.8204,-37.5275
Lyndhurst,Government,Primary,Casey (C),145.25408,-38.07496
Craigieburn,Government,Primary,Hume (C),144.90557,-37.58175
Reservoir,Government,Primary,Darebin (C),145.02272,-37.70552
Broadmeadows,Government,Primary,Hume (C),144.92956,-37.68754
Mernda,Government,Primary,Whittlesea (C),145.09694,-37.61403
Sunshine,Government,Primary,Brimbank (C),144.84569,-37.78293
Pakenham,Government,Primary,Cardinia (S),145.51084,-38.06394
Point Cook,Government,Pri/Sec,Wyndham (C),144.74133,-37.90824
Blackburn North,Government,Primary,Whitehorse (C),145.16699,-37.80747
Golden Square,Government,Primary,Greater Bendigo (C),144.2573,-36.7706
Lalor,Government,Primary,Whittlesea (C),145.00135,-37.66369
Keysborough,Government,Primary,Greater Dandenong (C),145.18048,-37.9924
Springvale South,Government,Primary,Greater Dandenong (C),145.15242,-37.98263
Dandenong North,Government,Primary,Greater Dandenong (C),145.20465,-37.96505
Springvale South,Government,Primary,Greater Dandenong (C),145.14997,-37.97105
Springvale,Government,Primary,Greater Dandenong (C),145.15904,-37.93926
Springvale,Government,Primary,Greater Dandenong (C),145.13951,-37.95884
Keilor Downs,Government,Primary,Brimbank (C),144.80919,-37.71765
Werribee,Government,Primary,Wyndham (C),144.67655,-37.88487
Bendigo,Government,Primary,Greater Bendigo (C),144.26844,-36.73692
Glenroy,Government,Primary,Merri-bek (C),144.92504,-37.70428
Reservoir,Government,Primary,Darebin (C),145.00278,-37.69667
Craigieburn,Government,Primary,Hume (C),144.90955,-37.57099
Dallas,Government,Primary,Hume (C),144.94185,-37.6703
Horsham,Government,Primary,Horsham (RC),142.21515,-36.71138
Wyndham Vale,Government,Primary,Wyndham (C),144.60961,-37.89556
Officer,Government,Special,Cardinia (S),145.41131,-38.07079
Epping,Government,Primary,Whittlesea (C),145.02559,-37.64485
Doreen,Government,Pri/Sec,Whittlesea (C),145.11937,-37.59755
Cranbourne North,Government,Primary,Casey (C),145.32734,-38.0816
Coolaroo,Government,Primary,Hume (C),144.9309,-37.66206
Jacana,Government,Special,Hume (C),144.91309,-37.68762
Torquay,Government,Primary,Surf Coast (S),144.33818,-38.30456
Harkness,Government,Primary,Melton (C),144.54286,-37.66636
Clyde North,Government,Primary,Casey (C),145.31981,-38.10893
Southbank,Government,Primary,Port Phillip (C),144.9535,-37.82935
Cranbourne West,Government,Primary,Casey (C),145.23902,-38.11498
Pakenham,Government,Primary,Cardinia (S),145.4428,-38.07754
Albert Park,Government,Primary,Port Phillip (C),144.9627,-37.84054
Officer,Government,Primary,Cardinia (S),145.41966,-38.07195
Armstrong Creek,Government,Primary,Greater Geelong (C),144.36731,-38.23261
Hamlyn Heights,Government,Special,Greater Geelong (C),144.33237,-38.12528
Aireys Inlet,Government,Primary,Surf Coast (S),144.10997,-38.45737
Craigieburn,Government,Primary,Hume (C),144.90556,-37.60171
Morwell,Government,Primary,Latrobe (C),146.40764,-38.23167
Doreen,Government,Primary,Whittlesea (C),145.12728,-37.61564
Cranbourne East,Government,Primary,Casey (C),145.29841,-38.12014
Mount Duneed,Government,Primary,Greater Geelong (C),144.32848,-38.22492
Keysborough,Government,Primary,Greater Dandenong (C),145.16132,-38.00951
Docklands,Government,Primary,Melbourne (C),144.94055,-37.81271
Truganina,Government,Primary,Wyndham (C),144.72505,-37.82878
Aintree,Government,Primary,Melton (C),144.66623,-37.7238
Donnybrook,Government,Primary,Whittlesea (C),144.99775,-37.53707
Deanside,Government,Primary,Melton (C),144.69701,-37.72176
Mickleham,Government,Primary,Hume (C),144.90909,-37.52861
Wyndham Vale,Government,Primary,Wyndham (C),144.62651,-37.87627
Clyde North,Government,Primary,Casey (C),145.33828,-38.11488
Strathtulloh,Government,Primary,Melton (C),144.58976,-37.71662
Kalkallo,Government,Primary,Hume (C),144.95825,-37.53243
Wollert,Government,Primary,Whittlesea (C),144.99354,-37.59795
Gisborne,Government,Primary,Macedon Ranges (S),144.6081,-37.50394
Clyde,Government,Primary,Casey (C),145.33155,-38.12299
Wollert,Government,Primary,Whittlesea (C),145.02711,-37.61133
Endeavour Hills,Government,Special,Casey (C),145.24388,-37.97889
Cranbourne West,Government,Primary,Casey (C),145.25017,-38.09481
Manor Lakes,Government,Primary,Wyndham (C),144.58403,-37.86679
Werribee,Government,Primary,Wyndham (C),144.61342,-37.91097
Officer,Government,Primary,Cardinia (S),145.40499,-38.07026
Thornhill Park,Government,Primary,Melton (C),144.62601,-37.71533
Tarneit,Government,Primary,Wyndham (C),144.64577,-37.85261
Tarneit,Government,Primary,Wyndham (C),144.68496,-37.82571
Craigieburn,Government,Special,Hume (C),144.92108,-37.57591
Alvie,Government,Primary,Colac-Otway (S),143.50332,-38.2419
Apollo Bay,Government,Pri/Sec,Colac-Otway (S),143.66051,-38.75352
Boisdale,Government,Primary,Wellington (S),146.97947,-37.87959
Cobram,Government,Primary,Moira (S),145.6511,-35.92511
Cohuna,Government,Primary,Gannawarra (S),144.21342,-35.80632
Collingwood,Government,Pri/Sec,Yarra (C),144.9905,-37.80298
Dunkeld,Government,Primary,Southern Grampians (S),142.34037,-37.63898
Dingee,Government,Pri/Sec,Loddon (S),144.14145,-36.37222
Foster,Government,Primary,South Gippsland (S),146.202,-38.65734
Goroke,Government,Pri/Sec,West Wimmera (S),141.48354,-36.71579
Heywood,Government,Primary,Glenelg (S),141.61292,-38.12752
Tangambalanga,Government,Primary,Indigo (S),147.03877,-36.25105
Lavers Hill,Government,Pri/Sec,Colac-Otway (S),143.38305,-38.68184
Lockington,Government,Primary,Campaspe (S),144.53664,-36.26577
Manangatang,Government,Pri/Sec,Swan Hill (RC),142.88488,-35.05623
Terang,Government,Pri/Sec,Corangamite (S),142.92139,-38.24628
Merino,Government,Primary,Glenelg (S),141.54831,-37.70637
Rushworth,Government,Pri/Sec,Campaspe (S),145.0144,-36.58332
Macleod,Government,Pri/Sec,Banyule (C),145.07222,-37.72475
Pakenham,Government,Primary,Cardinia (S),145.46466,-38.06537
Poowong,Government,Primary,South Gippsland (S),145.7697,-38.34248
Port Fairy,Government,Primary,Moyne (S),142.22822,-38.38662
Red Hill,Government,Primary,Mornington Peninsula (S),144.99527,-38.36668
Sassafras,Government,Pri/Sec,Yarra Ranges (S),145.34944,-37.86824
Tongala,Government,Primary,Campaspe (S),144.95652,-36.25215
Werrimull,Government,Pri/Sec,Mildura (RC),141.59384,-34.39041
Camperdown,Government,Pri/Sec,Corangamite (S),143.14544,-38.23973
Timboon,Government,Pri/Sec,Corangamite (S),142.97589,-38.48406
Thornbury,Government,Pri/Sec,Darebin (C),145.0257,-37.76204
Wedderburn,Government,Pri/Sec,Loddon (S),143.61877,-36.41702
Thornbury,Government,Pri/Sec,Darebin (C),145.02583,-37.76195
Moorabbin,Government,Special,Kingston (C),145.03628,-37.93458
Clayton,Government,Special,Monash (C),145.12425,-37.91938
Hampton East,Government,Special,Bayside (C),145.03181,-37.93896
Frankston South,Government,Secondary,Frankston (C),145.14663,-38.17412
Mont Albert North,Government,Secondary,Whitehorse (C),145.11191,-37.80924
Wollert,Government,Secondary,Whittlesea (C),145.00507,-37.60949
Craigieburn,Government,Secondary,Hume (C),144.89025,-37.59829
